cost_id,facility_id,expense_type,vendor,cost_amount,expense_date,fiscal_year
COST-000001,FAC-0093,Electrical,Carter-Moore,9044.39,2025-05-26,2024
COST-000002,FAC-0015,HVAC,Scott-Henderson,26497.91,2025-05-20,2024
COST-000003,FAC-0053,HVAC,"Anderson, Ryan and Smith",21385.67,2025-07-08,2023
COST-000004,FAC-0011,Plumbing,James LLC,30742.67,2025-11-05,2025
COST-000005,FAC-0080,Plumbing,Moore-Thomas,30625.03,2025-05-17,2024
COST-000006,FAC-0037,IT Services,"Lopez, Johnson and Allen",32907.21,2025-09-17,2023
COST-000007,FAC-0039,Plumbing,"Cox, Roberts and Kennedy",37710.59,2025-02-08,2024
COST-000008,FAC-0096,HVAC,Lopez-Malone,15438.84,2025-10-05,2024
COST-000009,FAC-0010,Plumbing,Romero Inc,30638.14,2024-12-24,2024
COST-000010,FAC-0073,HVAC,Gordon Ltd,37673.78,2025-10-07,2023
COST-000011,FAC-0091,Plumbing,"Garrett, Logan and Collins",13861.82,2025-12-10,2024
COST-000012,FAC-0037,HVAC,Benjamin PLC,28788.5,2025-02-02,2024
COST-000013,FAC-0053,Plumbing,Miller-Baker,957.09,2025-02-19,2025
COST-000014,FAC-0085,HVAC,Ford-Haas,7390.6,2024-12-30,2023
COST-000015,FAC-0076,Plumbing,Phillips LLC,25075.16,2025-03-09,2023
COST-000016,FAC-0078,IT Services,Leonard PLC,36204.95,2025-08-12,2023
COST-000017,FAC-0074,Plumbing,"Morales, Higgins and Ortega",5077.97,2025-01-28,2023
COST-000018,FAC-0014,Electrical,Gomez LLC,49885.55,2025-02-05,2025
COST-000019,FAC-0058,HVAC,Flores-Smith,3154.08,2025-09-22,2023
COST-000020,FAC-0015,IT Services,"Herring, Lopez and Mullins",38108.02,2025-05-17,2024
COST-000021,FAC-0042,Plumbing,"Dawson, Bush and Dodson",44971.97,2025-11-11,2025
COST-000022,FAC-0045,HVAC,Short Group,14424.56,2025-06-15,2025
COST-000023,FAC-0053,Plumbing,"Dominguez, Melendez and West",16900.24,2025-07-30,2025
COST-000024,FAC-0017,HVAC,"Briggs, Reed and Bridges",1960.89,2025-04-20,2023
COST-000025,FAC-0006,Plumbing,Reese Inc,13979.07,2025-04-24,2024
COST-000026,FAC-0039,IT Services,Walter-Brady,46452.13,2025-01-02,2023
